model,model_short,task,n,F,p,partial_eta2,status,degenerate_rank_means,p_fdr,sig_fdr
bert-base-uncased,BERT-base,mrpc,50,0.6706586826347198,0.65027559774699,0.14358974358974164,ok,False,0.6870836504496497,ns
bert-base-uncased,BERT-base,mrpc,100,4.094590921446023,0.010088182702703508,0.505842847548689,ok,False,0.021728393513515246,*
bert-base-uncased,BERT-base,mrpc,200,2.3262422482141534,0.08077075492938735,0.36771311577118826,ok,False,0.12923320788701975,ns
bert-base-uncased,BERT-base,mrpc,500,6.622563425898139,0.0008679845684312903,0.6234430579865613,ok,False,0.002430356791607613,**
bert-base-uncased,BERT-base,mrpc,1000,9.868527856352296,7.164675659465658e-05,0.7115771737684579,ok,False,0.00030863218225390525,***
bert-base-uncased,BERT-base,mrpc,2000,3.3393936554050887,0.023574836332070248,0.45499585009257487,ok,False,0.04552382188261841,*
bert-base-uncased,BERT-base,mrpc,5000,7.465610018589152,0.000427786104179817,0.6511306425462915,ok,False,0.0013544379950413503,**
bert-base-uncased,BERT-base,qnli,50,7.728704396392354,0.0003462832425868978,0.6589563633959123,ok,False,0.0012119913490541423,**
bert-base-uncased,BERT-base,qnli,100,1.463521389965839,0.24564098033092752,0.2678714487425096,ok,False,0.3275213071079034,ns
bert-base-uncased,BERT-base,qnli,200,2.7741457543334653,0.04627091192895327,0.40951964350026365,ok,False,0.07852033539458737,ns
bert-base-uncased,BERT-base,qnli,500,10.445768307719435,4.867008384878968e-05,0.7231023013249834,ok,False,0.0002271270579610185,***
bert-base-uncased,BERT-base,qnli,1000,96.21340984280832,2.7544633240950134e-13,0.9600851821500308,ok,False,1.5424994614932075e-11,***
bert-base-uncased,BERT-base,qnli,2000,25.99156695077723,4.1615913937143034e-08,0.8666291759091853,ok,False,7.768303934933366e-07,***
bert-base-uncased,BERT-base,qnli,5000,4.617135268106422,0.0057997272608864,0.5358086097586603,ok,False,0.012991389064385538,*
bert-base-uncased,BERT-base,rte,50,1.0429847727145,0.42010674776001056,0.2068189415041779,ok,False,0.5073904490006912,ns
bert-base-uncased,BERT-base,rte,100,1.5140904017857049,0.2300398848859364,0.2745857052498406,ok,False,0.31420081838079117,ns
bert-base-uncased,BERT-base,rte,200,0.27739104116222757,0.9200831277588539,0.06485052184680701,ok,False,0.9200831277588539,ns
bert-base-uncased,BERT-base,rte,500,0.870658246295849,0.5180239850045509,0.17875576611395128,ok,False,0.5920274114337725,ns
bert-base-uncased,BERT-base,rte,1000,5.10873583540942,0.0035278493539427913,0.5608611258161262,ok,False,0.008696891592797252,**
bert-base-uncased,BERT-base,rte,2000,17.90428428141573,8.911018810620064e-07,0.8173873225616541,ok,False,8.316950889912059e-06,***
bert-base-uncased,BERT-base,rte,5000,27.354485776805554,2.6924464213706756e-08,0.8724265475608918,ok,False,7.538849979837892e-07,***
bert-base-uncased,BERT-base,sst2,50,17.454281155293465,1.089821769828525e-06,0.8135570252367523,ok,False,8.7185741586282e-06,***
bert-base-uncased,BERT-base,sst2,100,21.415886211821867,2.0980903603362577e-07,0.8426181181854894,ok,False,2.580225747728093e-06,***
bert-base-uncased,BERT-base,sst2,200,8.38632260549316,0.0002078874172301015,0.6770631504280329,ok,False,0.0007761130243257123,***
bert-base-uncased,BERT-base,sst2,500,0.6066217460856035,0.6957361414573797,0.13168473113753473,ok,False,0.721504146696542,ns
bert-base-uncased,BERT-base,sst2,1000,3.5692500368351205,0.01809340676918514,0.47154606063555365,ok,False,0.03752706589164325,*
bert-base-uncased,BERT-base,sst2,2000,3.2021748164566053,0.027682779501170596,0.444612203683226,ok,False,0.050007601679533976,ns
bert-base-uncased,BERT-base,sst2,5000,0.6919557135269798,0.6354111546054954,0.14747703426357178,ok,False,0.6866778171983081,ns
roberta-base,RoBERTa-base,mrpc,50,1.0320424611755428,0.42584555541129443,0.2050941479803105,ok,False,0.5073904490006912,ns
roberta-base,RoBERTa-base,mrpc,100,1.6447413109928566,0.19411670191892827,0.29137585238668134,ok,False,0.2717633826864996,ns
roberta-base,RoBERTa-base,mrpc,200,1.975842603353826,0.1263810761887192,0.3306383274293273,ok,False,0.1912794666640074,ns
roberta-base,RoBERTa-base,mrpc,500,9.02316048370568,0.00012976690161803361,0.6928548945546114,ok,False,0.0005190676064721345,***
roberta-base,RoBERTa-base,mrpc,1000,12.502096953250227,1.3676781908111835e-05,0.7576065628912593,ok,False,8.50999763171403e-05,***
roberta-base,RoBERTa-base,mrpc,2000,10.869647157366014,3.697158384563526e-05,0.730995634417693,ok,False,0.00018821897230505223,***
roberta-base,RoBERTa-base,mrpc,5000,1.319083023543998,0.296051126262048,0.24799068142108444,ok,False,0.37822214405296345,ns
roberta-base,RoBERTa-base,qnli,50,3.205827316474327,0.02756396158355745,0.44489371944079237,ok,False,0.050007601679533976,ns
roberta-base,RoBERTa-base,qnli,100,6.837831548485544,0.0007212079936814719,0.6309224790858692,ok,False,0.0021256656655874962,**
roberta-base,RoBERTa-base,qnli,200,11.521798369603303,2.4560644587667824e-05,0.7422979022950529,ok,False,0.00013753960969093982,***
roberta-base,RoBERTa-base,qnli,500,7.444017659789495,0.0004353550698347197,0.650472402357899,ok,False,0.0013544379950413503,**
roberta-base,RoBERTa-base,qnli,1000,5.262715370271983,0.0030327235342697545,0.5681611881503223,ok,False,0.00808726275805268,**
roberta-base,RoBERTa-base,qnli,2000,5.096183912686725,0.0035719376184703,0.560255153326322,ok,False,0.008696891592797252,**
roberta-base,RoBERTa-base,qnli,5000,1.3161393330475917,0.29717454175589986,0.2475742734705725,ok,False,0.37822214405296345,ns
roberta-base,RoBERTa-base,rte,50,0.9626739056667778,0.46374271030255887,0.19398290598290566,ok,False,0.541033162019652,ns
roberta-base,RoBERTa-base,rte,100,0.30521619037500974,0.9039823396858877,0.070894509561998,ok,False,0.9200831277588539,ns
roberta-base,RoBERTa-base,rte,200,3.17323381357405,0.028643956414293403,0.44237144585602073,ok,False,0.050126923725013456,ns
roberta-base,RoBERTa-base,rte,500,2.1201496432921476,0.10499030513670515,0.34642120975193635,ok,False,0.1633182524348747,ns
roberta-base,RoBERTa-base,rte,1000,4.730595401847115,0.00516081892407394,0.5418410983569656,ok,False,0.012041910822839194,*
roberta-base,RoBERTa-base,rte,2000,2.4280209701403423,0.07105038166100719,0.37772449427577576,ok,False,0.11702415802989419,ns
roberta-base,RoBERTa-base,rte,5000,3.448064111773086,0.020787998015167064,0.4629476948678198,ok,False,0.04157599603033413,*
roberta-base,RoBERTa-base,sst2,50,13.800423903400477,6.612200915245836e-06,0.7752862503889097,ok,False,4.628540640672085e-05,***
roberta-base,RoBERTa-base,sst2,100,21.173225253659318,2.3037729890429404e-07,0.8411010126952828,ok,False,2.580225747728093e-06,***
roberta-base,RoBERTa-base,sst2,200,1.6765943671090977,0.18624294070073955,0.29535215283718286,ok,False,0.26742576100619014,ns
roberta-base,RoBERTa-base,sst2,500,0.6887638107150156,0.6376294016841433,0.14689667437310777,ok,False,0.6866778171983081,ns
roberta-base,RoBERTa-base,sst2,1000,1.8131472895090361,0.1559798942354349,0.31190458442042507,ok,False,0.2298651072943251,ns
roberta-base,RoBERTa-base,sst2,2000,1.2402135231317049,0.3275659698443981,0.23667232597623564,ok,False,0.40763765136191765,ns
roberta-base,RoBERTa-base,sst2,5000,0.803554724041142,0.5603824595979727,0.16728334956182744,ok,False,0.6276283547497294,ns
