model,model_short,task,n,rank,accuracy_mean,accuracy_std,accuracy_sem,run_count,ci95_low,ci95_high
bert-base-uncased,BERT-base,sst2,50,2,0.506651376146789,0.02184023428638152,0.009767249701774136,5,0.4875075667313117,0.5257951855622663
bert-base-uncased,BERT-base,sst2,50,4,0.5151376146788991,0.011100775266357868,0.004964417619704906,5,0.5054073561442775,0.5248678732135207
bert-base-uncased,BERT-base,sst2,50,8,0.5357798165137615,0.024480654764641865,0.010948081637488663,5,0.5143215765042837,0.5572380565232393
bert-base-uncased,BERT-base,sst2,50,16,0.5658256880733945,0.04939586412828902,0.022090501999639536,5,0.522528304154101,0.609123071992688
bert-base-uncased,BERT-base,sst2,50,32,0.6307339449541284,0.04194803017929329,0.018759729400622507,5,0.5939648753289083,0.6675030145793485
bert-base-uncased,BERT-base,sst2,50,64,0.6626146788990825,0.06202951863200868,0.027740444054552237,5,0.6082434085521602,0.7169859492460049
bert-base-uncased,BERT-base,sst2,100,2,0.5694954128440367,0.0211395239167055,0.009453882497947225,5,0.5509658031480601,0.5880250225400133
bert-base-uncased,BERT-base,sst2,100,4,0.6013761467889908,0.06444811288371075,0.02882207228591147,5,0.5448848851086043,0.6578674084693772
bert-base-uncased,BERT-base,sst2,100,8,0.66651376146789,0.06002539407347208,0.026844172304899307,5,0.6138991837502874,0.7191283391854926
bert-base-uncased,BERT-base,sst2,100,16,0.7295871559633028,0.06810324001393467,0.030456694831828328,5,0.6698920340929193,0.7892822778336863
bert-base-uncased,BERT-base,sst2,100,32,0.7786697247706422,0.040739265294338536,0.01821915331030779,5,0.7429601842824389,0.8143792652588455
bert-base-uncased,BERT-base,sst2,100,64,0.7974770642201835,0.011599020925220489,0.005187239852247102,5,0.7873100741097792,0.8076440543305878
bert-base-uncased,BERT-base,sst2,200,2,0.7591743119266054,0.03728387203442396,0.016673854466675072,5,0.7264935571719223,0.7918550666812886
bert-base-uncased,BERT-base,sst2,200,4,0.8100917431192661,0.028015470613949493,0.01252889934288776,5,0.7855351004072061,0.8346483858313262
bert-base-uncased,BERT-base,sst2,200,8,0.8084862385321101,0.028658254586238042,0.012816361074264673,5,0.7833661708265514,0.8336063062376688
bert-base-uncased,BERT-base,sst2,200,16,0.8282110091743119,0.01741836200889181,0.007789728301716377,5,0.8129431417029478,0.843478876645676
bert-base-uncased,BERT-base,sst2,200,32,0.8197247706422018,0.016959299372293003,0.007584429249443328,5,0.8048592893132929,0.8345902519711108
bert-base-uncased,BERT-base,sst2,200,64,0.8190366972477066,0.039212805787125805,0.017536499865702094,5,0.7846651575109305,0.8534082369844826
bert-base-uncased,BERT-base,sst2,500,2,0.8440366972477065,0.008581782997187901,0.0038378900299728103,5,0.8365144327889598,0.8515589617064532
bert-base-uncased,BERT-base,sst2,500,4,0.8454128440366973,0.011649931283669961,0.0052100076566974915,5,0.8352012290295702,0.8556244590438243
bert-base-uncased,BERT-base,sst2,500,8,0.8474770642201837,0.006735860163113974,0.003012368242331127,5,0.8415728224652146,0.8533813059751527
bert-base-uncased,BERT-base,sst2,500,16,0.8529816513761468,0.007580960495889147,0.003390308600709733,5,0.8463366465187557,0.8596266562335378
bert-base-uncased,BERT-base,sst2,500,32,0.8486238532110091,0.01044774493021139,0.00467237357510628,5,0.8394660010038008,0.8577817054182174
bert-base-uncased,BERT-base,sst2,500,64,0.8447247706422019,0.009267020115062832,0.0041443373852276645,5,0.8366018693671556,0.8528476719172481
bert-base-uncased,BERT-base,sst2,1000,2,0.8385321100917432,0.013651124899039392,0.00610496864871842,5,0.8265663715402551,0.8504978486432313
bert-base-uncased,BERT-base,sst2,1000,4,0.8575688073394495,0.006143621667880232,0.0027475111354841666,5,0.8521836855139006,0.8629539291649985
bert-base-uncased,BERT-base,sst2,1000,8,0.8582568807339449,0.0051028888672676655,0.0022820812777674827,5,0.8537840014295206,0.8627297600383692
bert-base-uncased,BERT-base,sst2,1000,16,0.8607798165137615,0.010147624681481155,0.004538155719589302,5,0.8518850313033665,0.8696746017241564
bert-base-uncased,BERT-base,sst2,1000,32,0.8644495412844038,0.013110562006447514,0.005863221573928534,5,0.8529576269995038,0.8759414555693037
bert-base-uncased,BERT-base,sst2,1000,64,0.8605504587155963,0.01489943281551535,0.006663228920336687,5,0.8474905300317365,0.8736103873994562
bert-base-uncased,BERT-base,sst2,2000,2,0.856651376146789,0.011553578944730414,0.0051669175807655034,5,0.8465242176884886,0.8667785346050894
bert-base-uncased,BERT-base,sst2,2000,4,0.865137614678899,0.007189187164521758,0.003215102240567932,5,0.8588360142873859,0.8714392150704122
bert-base-uncased,BERT-base,sst2,2000,8,0.8637614678899082,0.017847220300422496,0.007981519560231796,5,0.8481176895518538,0.8794052462279625
bert-base-uncased,BERT-base,sst2,2000,16,0.876605504587156,0.004629960834446427,0.0020705814317967764,5,0.8725471649808343,0.8806638441934778
bert-base-uncased,BERT-base,sst2,2000,32,0.8786697247706423,0.004321432037022241,0.001932603158985414,5,0.8748818225790309,0.8824576269622537
bert-base-uncased,BERT-base,sst2,2000,64,0.876834862385321,0.014810903019232094,0.006623637191831959,5,0.8638525334893304,0.8898171912813116
bert-base-uncased,BERT-base,sst2,5000,2,0.8827981651376147,0.007709970786225502,0.003448003756507547,5,0.8760400777748599,0.8895562525003694
bert-base-uncased,BERT-base,sst2,5000,4,0.8889908256880734,0.0017009629557558777,0.0007606937592558211,5,0.887499865919932,0.8904817854562148
bert-base-uncased,BERT-base,sst2,5000,8,0.8837155963302752,0.026108030987551847,0.011675866409367365,5,0.8608308981679151,0.9066002944926352
bert-base-uncased,BERT-base,sst2,5000,16,0.8954128440366972,0.01170623867447236,0.00523518908739144,5,0.88515187342541,0.9056738146479844
bert-base-uncased,BERT-base,sst2,5000,32,0.8887614678899082,0.009245708426947856,0.004134806508559624,5,0.8806572471331313,0.896865688646685
bert-base-uncased,BERT-base,sst2,5000,64,0.8954128440366972,0.01760610575965619,0.007873689859528354,5,0.8799804119120216,0.9108452761613728
bert-base-uncased,BERT-base,mrpc,50,2,0.6838235294117647,0.0,0.0,5,0.6838235294117647,0.6838235294117647
bert-base-uncased,BERT-base,mrpc,50,4,0.6838235294117647,0.0,0.0,5,0.6838235294117647,0.6838235294117647
bert-base-uncased,BERT-base,mrpc,50,8,0.6838235294117647,0.0,0.0,5,0.6838235294117647,0.6838235294117647
bert-base-uncased,BERT-base,mrpc,50,16,0.6838235294117647,0.0,0.0,5,0.6838235294117647,0.6838235294117647
bert-base-uncased,BERT-base,mrpc,50,32,0.6823529411764706,0.003288335261029091,0.0014705882352941122,5,0.6794705882352942,0.685235294117647
bert-base-uncased,BERT-base,mrpc,50,64,0.6882352941176471,0.013357280973959522,0.005973557650467617,5,0.6765271211227305,0.6999434671125636
bert-base-uncased,BERT-base,mrpc,100,2,0.6838235294117647,0.0,0.0,5,0.6838235294117647,0.6838235294117647
bert-base-uncased,BERT-base,mrpc,100,4,0.6838235294117647,0.0,0.0,5,0.6838235294117647,0.6838235294117647
bert-base-uncased,BERT-base,mrpc,100,8,0.6843137254901961,0.0010961117536763636,0.0004901960784313707,5,0.6833529411764706,0.6852745098039216
bert-base-uncased,BERT-base,mrpc,100,16,0.6906862745098039,0.00820254927974581,0.003668291555660713,5,0.6834964230607089,0.6978761259588989
bert-base-uncased,BERT-base,mrpc,100,32,0.7009803921568627,0.010961117536763687,0.004901960784313731,5,0.6913725490196078,0.7105882352941176
bert-base-uncased,BERT-base,mrpc,100,64,0.6985294117647058,0.018585479029538096,0.008311678900888797,5,0.6822385211189638,0.7148203024104479
bert-base-uncased,BERT-base,mrpc,200,2,0.6906862745098039,0.007229353531251262,0.003233065185851194,5,0.6843494667455355,0.6970230822740723
bert-base-uncased,BERT-base,mrpc,200,4,0.7093137254901961,0.01855312830174079,0.008297211215593516,5,0.6930511915076328,0.7255762594727594
bert-base-uncased,BERT-base,mrpc,200,8,0.7127450980392156,0.01762321373749761,0.007881340779810543,5,0.6972976701107869,0.7281925259676443
bert-base-uncased,BERT-base,mrpc,200,16,0.7,0.022167488342343156,0.009913602164782678,5,0.6805693397570259,0.719430660242974
bert-base-uncased,BERT-base,mrpc,200,32,0.7200980392156863,0.01647817285683492,0.007369262930574961,5,0.7056542838717593,0.7345417945596132
bert-base-uncased,BERT-base,mrpc,200,64,0.7156862745098039,0.014186074635772363,0.0063442054438945135,5,0.7032516318397707,0.7281209171798372
bert-base-uncased,BERT-base,mrpc,500,2,0.7029411764705882,0.005313598869774264,0.002376313655596252,5,0.6982836017056195,0.7075987512355568
bert-base-uncased,BERT-base,mrpc,500,4,0.7294117647058823,0.013379749082310002,0.005983605693987111,5,0.7176838975456675,0.7411396318660971
bert-base-uncased,BERT-base,mrpc,500,8,0.7377450980392156,0.032097551112031365,0.01435446123955521,5,0.7096103540096874,0.7658798420687438
bert-base-uncased,BERT-base,mrpc,500,16,0.7411764705882353,0.008938520847456177,0.003997428046642191,5,0.7333415116168166,0.749011429559654
bert-base-uncased,BERT-base,mrpc,500,32,0.7397058823529412,0.019714781913911964,0.00881671850421812,5,0.7224251140846737,0.7569866506212087
bert-base-uncased,BERT-base,mrpc,500,64,0.7681372549019608,0.013038662821833729,0.0058310672810638845,5,0.7567083630310756,0.7795661467728461
bert-base-uncased,BERT-base,mrpc,1000,2,0.717156862745098,0.012688410887789011,0.005674429854308934,5,0.7060349802306526,0.7282787452595435
bert-base-uncased,BERT-base,mrpc,1000,4,0.738235294117647,0.0160159894634358,0.007162568233432577,5,0.7241966603801191,0.7522739278551749
bert-base-uncased,BERT-base,mrpc,1000,8,0.7534313725490196,0.017893835537690177,0.00800236652809535,5,0.7377467341539528,0.7691160109440864
bert-base-uncased,BERT-base,mrpc,1000,16,0.7490196078431373,0.02448528185047483,0.010950150933180717,5,0.727557312014103,0.7704819036721715
bert-base-uncased,BERT-base,mrpc,1000,32,0.7808823529411765,0.02454654109520451,0.01097754690027386,5,0.7593663610166397,0.8023983448657133
bert-base-uncased,BERT-base,mrpc,1000,64,0.7833333333333334,0.02781619795904139,0.012439781902401486,5,0.7589513608046266,0.8077153058620403
bert-base-uncased,BERT-base,mrpc,2000,2,0.7803921568627451,0.012688410887789018,0.005674429854308933,5,0.7692702743482996,0.7915140393771906
bert-base-uncased,BERT-base,mrpc,2000,4,0.7808823529411765,0.021894815131497346,0.009791658997763813,5,0.7616907013055594,0.8000740045767936
bert-base-uncased,BERT-base,mrpc,2000,8,0.8083333333333333,0.007827803638564388,0.0035007002100700306,5,0.8014719609215961,0.8151947057450706
bert-base-uncased,BERT-base,mrpc,2000,16,0.8196078431372549,0.019032616331683534,0.00851164478146341,5,0.8029250193655866,0.8362906669089232
bert-base-uncased,BERT-base,mrpc,2000,32,0.8117647058823529,0.04069660865687338,0.018200076682095067,5,0.7760925555854467,0.8474368561792592
bert-base-uncased,BERT-base,mrpc,2000,64,0.8102941176470588,0.025624176546441387,0.011459480125059759,5,0.7878335366019417,0.832754698692176
bert-base-uncased,BERT-base,mrpc,5000,2,0.8098039215686275,0.009895406489306998,0.004425360315016599,5,0.8011302153511949,0.81847762778606
bert-base-uncased,BERT-base,mrpc,5000,4,0.8269607843137254,0.008595920547426597,0.0038442125346466087,5,0.8194261277458181,0.8344954408816327
bert-base-uncased,BERT-base,mrpc,5000,8,0.85,0.015148565823884791,0.006774644588767298,5,0.836721696606016,0.8632783033939839
bert-base-uncased,BERT-base,mrpc,5000,16,0.8544117647058824,0.0177251811095731,0.007926941974900105,5,0.8388749584350782,0.8699485709766867
bert-base-uncased,BERT-base,mrpc,5000,32,0.8514705882352942,0.016677476310003977,0.0074583941444622374,5,0.8368521357121482,0.8660890407584402
bert-base-uncased,BERT-base,mrpc,5000,64,0.8431372549019608,0.013756093333727676,0.0061519119598093565,5,0.8310795074607344,0.8551950023431871
bert-base-uncased,BERT-base,qnli,50,2,0.6271279516749039,0.022853726870188124,0.010220497364190832,5,0.6070957768410898,0.6471601265087179
bert-base-uncased,BERT-base,qnli,50,4,0.6508145707486729,0.026055039468743088,0.011652167881709908,5,0.6279763217005214,0.6736528197968243
bert-base-uncased,BERT-base,qnli,50,8,0.656452498627128,0.015681166521977354,0.007012830861927074,5,0.6427073501377509,0.670197647116505
bert-base-uncased,BERT-base,qnli,50,16,0.6831411312465678,0.017551297984071308,0.00784917907714768,5,0.6677567402553584,0.6985255222377773
bert-base-uncased,BERT-base,qnli,50,32,0.689877356763683,0.02416407341576107,0.01080650215418746,5,0.6686966125414756,0.7110581009858904
bert-base-uncased,BERT-base,qnli,50,64,0.6804319970712063,0.03213951816059752,0.014373229474236995,5,0.6522604673017017,0.7086035268407108
bert-base-uncased,BERT-base,qnli,100,2,0.6782720117151748,0.009446672166297167,0.004224680224999112,5,0.6699916384741765,0.6865523849561731
bert-base-uncased,BERT-base,qnli,100,4,0.6879370309353835,0.007734143728281324,0.003458814224838141,5,0.6811577550547008,0.6947163068160662
bert-base-uncased,BERT-base,qnli,100,8,0.695295625114406,0.014660890826502009,0.006556549699752324,5,0.6824447877028914,0.7081464625259206
bert-base-uncased,BERT-base,qnli,100,16,0.6960644334614681,0.027482629242334997,0.012290605437256914,5,0.6719748468044445,0.7201540201184916
bert-base-uncased,BERT-base,qnli,100,32,0.6994325462200257,0.031942025199734825,0.01428490793712369,5,0.6714341266632633,0.7274309657767881
bert-base-uncased,BERT-base,qnli,100,64,0.6998718652754896,0.023986693589598266,0.010727175484360025,5,0.6788466013261439,0.7208971292248353
bert-base-uncased,BERT-base,qnli,200,2,0.7077429983525535,0.007904691582843085,0.003535085544081511,5,0.7008142306861538,0.7146717660189532
bert-base-uncased,BERT-base,qnli,200,4,0.7189456342668864,0.010480768933872023,0.004687142358521172,5,0.7097588352441849,0.7281324332895879
bert-base-uncased,BERT-base,qnli,200,8,0.7335896027823541,0.015263307998467038,0.006825958849217707,5,0.7202107234378874,0.7469684821268208
bert-base-uncased,BERT-base,qnli,200,16,0.7104155226066264,0.03238710917525037,0.014483955542113396,5,0.6820269697440842,0.7388040754691687
bert-base-uncased,BERT-base,qnli,200,32,0.7225700164744646,0.0189589382748303,0.008478694952748613,5,0.7059517743670773,0.7391882585818519
bert-base-uncased,BERT-base,qnli,200,64,0.7327841845140033,0.017547670321831094,0.007847556737273984,5,0.7174029733089463,0.7481653957190603
bert-base-uncased,BERT-base,qnli,500,2,0.7297821709683324,0.01174474005943767,0.005252407430193518,5,0.7194874524051531,0.7400768895315117
bert-base-uncased,BERT-base,qnli,500,4,0.7414241259381292,0.008521740693170445,0.0038110382953110596,5,0.7339544908793195,0.7488937609969389
bert-base-uncased,BERT-base,qnli,500,8,0.7668680212337543,0.008842072875700676,0.003954295202414757,5,0.7591176026370213,0.7746184398304873
bert-base-uncased,BERT-base,qnli,500,16,0.7636829580816402,0.026278618331976585,0.011752155389014361,5,0.740648733519172,0.7867171826441084
bert-base-uncased,BERT-base,qnli,500,32,0.7825736774665935,0.011391363939823403,0.005094372825176992,5,0.7725887067292465,0.7925586482039404
bert-base-uncased,BERT-base,qnli,500,64,0.7664287021782903,0.02202726509322606,0.009850892421372343,5,0.7471209530324004,0.7857364513241801
bert-base-uncased,BERT-base,qnli,1000,2,0.7391543108182318,0.006809839003382097,0.0030454525854783717,5,0.7331852237506942,0.7451233978857694
bert-base-uncased,BERT-base,qnli,1000,4,0.7583012996522058,0.010459967704814806,0.004677839766083688,5,0.7491327337106818,0.7674698655937299
bert-base-uncased,BERT-base,qnli,1000,8,0.7825004576240161,0.008308516580891882,0.003715681573411672,5,0.7752177217401293,0.7897831935079029
bert-base-uncased,BERT-base,qnli,1000,16,0.7942888522789676,0.004871321134187457,0.002178521039254891,5,0.790018951042028,0.7985587535159072
bert-base-uncased,BERT-base,qnli,1000,32,0.7958630788943803,0.005579861253023614,0.002495389813355586,5,0.7909721148602034,0.8007540429285573
bert-base-uncased,BERT-base,qnli,1000,64,0.791140399048142,0.004634445872660487,0.0020725872018624364,5,0.7870781281324917,0.7952026699637924
bert-base-uncased,BERT-base,qnli,2000,2,0.7940325828299469,0.009599551400149394,0.004293049896847461,5,0.7856182050321259,0.802446960627768
bert-base-uncased,BERT-base,qnli,2000,4,0.8100311184330954,0.003918287889833436,0.0017523116154163447,5,0.8065965876668794,0.8134656491993114
bert-base-uncased,BERT-base,qnli,2000,8,0.8188541094636645,0.0025906531669326973,0.0011585753174773214,5,0.816583301841409,0.8211249170859201
bert-base-uncased,BERT-base,qnli,2000,16,0.8239428885227896,0.004694428409531644,0.0020994122078438074,5,0.8198280405954158,0.8280577364501635
bert-base-uncased,BERT-base,qnli,2000,32,0.8271645615961927,0.0065864799403901305,0.002945563375830225,5,0.8213912573795654,0.8329378658128199
bert-base-uncased,BERT-base,qnli,2000,64,0.8272743913600585,0.004292113197342447,0.0019194913752763386,5,0.8235121882645169,0.8310365944556002
bert-base-uncased,BERT-base,qnli,5000,2,0.8303862346695954,0.0021759047508137933,0.0009730941870768582,5,0.8284789700629247,0.8322934992762661
bert-base-uncased,BERT-base,qnli,5000,4,0.8367929708951125,0.006100799256810228,0.0027283603710615643,5,0.8314453845678318,0.8421405572223932
bert-base-uncased,BERT-base,qnli,5000,8,0.8462749405088779,0.0023023536787157685,0.001029643866771023,5,0.8442568385300067,0.8482930424877491
bert-base-uncased,BERT-base,qnli,5000,16,0.8351821343584112,0.022936269080363312,0.010257411362783778,5,0.815077608087355,0.8552866606294673
bert-base-uncased,BERT-base,qnli,5000,32,0.8539264140582098,0.0037064720357525976,0.001657584685728972,5,0.8506775480741811,0.8571752800422385
bert-base-uncased,BERT-base,qnli,5000,64,0.8525352370492403,0.0019093398953549622,0.0008538827596332156,5,0.8508616268403592,0.8542088472581214
bert-base-uncased,BERT-base,rte,50,2,0.5039711191335741,0.03184271057212989,0.014240493085426733,5,0.47605975268613765,0.5318824855810105
bert-base-uncased,BERT-base,rte,50,4,0.5191335740072203,0.04682019591876815,0.020938628158844765,5,0.4780938628158845,0.560173285198556
bert-base-uncased,BERT-base,rte,50,8,0.5256317689530686,0.04820542348823245,0.021558120760770568,5,0.4833778522619583,0.567885685644179
bert-base-uncased,BERT-base,rte,50,16,0.540072202166065,0.024828518215233766,0.01110365090197089,5,0.5183090463982021,0.5618353579339279
bert-base-uncased,BERT-base,rte,50,32,0.5263537906137185,0.03577469788256321,0.015998931267985822,5,0.4949958853284662,0.5577116958989706
bert-base-uncased,BERT-base,rte,50,64,0.5350180505415162,0.011808972731982746,0.0052811331546309724,5,0.5246670295584395,0.5453690715245929
bert-base-uncased,BERT-base,rte,100,2,0.5198555956678701,0.039711191335740095,0.017759384658843087,5,0.48504720173653765,0.5546639895992025
bert-base-uncased,BERT-base,rte,100,4,0.5393501805054152,0.038596093172286204,0.017260697599829483,5,0.5055192132097494,0.573181147801081
bert-base-uncased,BERT-base,rte,100,8,0.548014440433213,0.03024745135834431,0.013527071476675246,5,0.5215013803389296,0.5745275005274965
bert-base-uncased,BERT-base,rte,100,16,0.5566787003610109,0.019340209727045334,0.00864920472975519,5,0.5397262590906907,0.573631141631331
bert-base-uncased,BERT-base,rte,100,32,0.5451263537906137,0.037343250659886654,0.01670040939526409,5,0.512393551375896,0.5778591562053313
bert-base-uncased,BERT-base,rte,100,64,0.5566787003610109,0.015611370621256096,0.0069816171862143285,5,0.5429947306760308,0.570362670045991
bert-base-uncased,BERT-base,rte,200,2,0.5487364620938628,0.04963078369988274,0.022195561225905266,5,0.5052331620910885,0.5922397620966372
bert-base-uncased,BERT-base,rte,200,4,0.5631768953068592,0.027375001603074177,0.012242472893727915,5,0.5391816484351525,0.587172142178566
bert-base-uncased,BERT-base,rte,200,8,0.5581227436823105,0.018689067300425646,0.008358004983964057,5,0.5417410539137409,0.5745044334508801
bert-base-uncased,BERT-base,rte,200,16,0.5537906137184115,0.020988363687723673,0.00938628158844766,5,0.5353935018050541,0.572187725631769
bert-base-uncased,BERT-base,rte,200,32,0.5631768953068592,0.011973374694423842,0.005354655947361502,5,0.5526817696500307,0.5736720209636877
bert-base-uncased,BERT-base,rte,200,64,0.5552346570397112,0.015818702021809895,0.007074338607316028,5,0.5413689533693717,0.5691003607100507
bert-base-uncased,BERT-base,rte,500,2,0.5610108303249097,0.019204961845877822,0.008588720038534526,5,0.544176939049382,0.5778447216004374
bert-base-uncased,BERT-base,rte,500,4,0.571841155234657,0.024028247353492748,0.010745758892517837,5,0.5507794678053219,0.592902842663992
bert-base-uncased,BERT-base,rte,500,8,0.5711191335740072,0.03342032291995126,0.01494602277580106,5,0.5418249289334371,0.6004133382145773
bert-base-uncased,BERT-base,rte,500,16,0.5862815884476534,0.018337075955523856,0.008200589669025664,5,0.5702084326963631,0.6023547441989437
bert-base-uncased,BERT-base,rte,500,32,0.571841155234657,0.022917790971991148,0.010249147701500646,5,0.5517528257397157,0.5919294847295982
bert-base-uncased,BERT-base,rte,500,64,0.5913357400722022,0.03737813460085135,0.016716009967928117,5,0.5585723605350631,0.6240991196093414
bert-base-uncased,BERT-base,rte,1000,2,0.5602888086642599,0.04533525653704146,0.020274543078843285,5,0.520550704229727,0.6000269130987927
bert-base-uncased,BERT-base,rte,1000,4,0.5740072202166064,0.007220216606498259,0.0032289790288805836,5,0.5676784213200005,0.5803360191132124
bert-base-uncased,BERT-base,rte,1000,8,0.592057761732852,0.02073849330880155,0.009274536157880963,5,0.5738796708634053,0.6102358526022986
bert-base-uncased,BERT-base,rte,1000,16,0.6014440433212996,0.013651747582085913,0.006105247121042502,5,0.5894777589640563,0.613410327678543
bert-base-uncased,BERT-base,rte,1000,32,0.620216606498195,0.030887003084776085,0.01381308770376101,5,0.5931429545988234,0.6472902583975666
bert-base-uncased,BERT-base,rte,1000,64,0.6158844765342961,0.02660235873926435,0.011896936500566125,5,0.5925664809931865,0.6392024720754057
bert-base-uncased,BERT-base,rte,2000,2,0.5956678700361011,0.014440433212996371,0.006457958057761118,5,0.5830102722428894,0.6083254678293128
bert-base-uncased,BERT-base,rte,2000,4,0.6173285198555957,0.006252891002053752,0.0027963778672977922,5,0.611847619235692,0.6228094204754994
bert-base-uncased,BERT-base,rte,2000,8,0.6418772563176895,0.016817060936970548,0.007520818287364498,5,0.6271364524744552,0.6566180601609239
bert-base-uncased,BERT-base,rte,2000,16,0.6642599277978339,0.017124247257229493,0.007658196186135895,5,0.6492498632730076,0.6792699923226603
bert-base-uncased,BERT-base,rte,2000,32,0.6707581227436823,0.016817060936970538,0.007520818287364498,5,0.6560173189004479,0.6854989265869167
bert-base-uncased,BERT-base,rte,2000,64,0.6794223826714803,0.02948377904562516,0.01318554683592034,5,0.6535787108730764,0.7052660544698841
bert-base-uncased,BERT-base,rte,5000,2,0.6274368231046932,0.011529761316008197,0.005156266013388349,5,0.617330541718452,0.6375431044909343
bert-base-uncased,BERT-base,rte,5000,4,0.6281588447653429,0.019441028184601097,0.00869429211465147,5,0.611118032220626,0.6451996573100598
bert-base-uncased,BERT-base,rte,5000,8,0.6577617328519855,0.00782652829916205,0.0035001298609504236,5,0.6509014783245226,0.6646219873794483
bert-base-uncased,BERT-base,rte,5000,16,0.6642599277978339,0.01326438488871756,0.005932013258178697,5,0.6526331818118037,0.6758866737838641
